course;stop_code;stop_id;stop_name;route_short_name;trip_headsign;direction_id;departure_time;is_theorical;delay_sec;dest_ar_code
268435721;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;13:20:02;0;210;41101
268435749;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;13:32:37;0;965;41101
268435509;ANTIGRTW;41217;ANTIGONE;1;MOSSON;1;13:44:37;0;1685;41101
268435473;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;13:20:10;0;218;41101
268435721;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;13:36:32;0;1200;41101
268435749;BOUTORTW;41233;BOUTONNET;1;MOSSON;1;13:49:13;0;1961;41101
268435473;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;13:28:58;0;746;41101
268435721;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;13:45:42;0;1750;41101
268435749;CHATORTW;41243;CHATEAU D'O;1;MOSSON;1;13:58:01;0;2489;41101
268435721;COMEDRTW;41223;COMEDIE;1;MOSSON;1;13:26:41;0;609;41101
268435749;COMEDRTW;41223;COMEDIE;1;MOSSON;1;13:39:00;0;1348;41101
268435509;COMEDRTW;41223;COMEDIE;1;MOSSON;1;13:51:00;0;2068;41101
268435721;CORUMRTW;41225;CORUM T1;1;MOSSON;1;13:29:41;0;789;41101
268435749;CORUMRTW;41225;CORUM T1;1;MOSSON;1;13:42:00;0;1528;41101
268435509;CORUMRTW;41225;CORUM T1;1;MOSSON;1;13:54:00;0;2248;41101
268435721;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;13:22:38;0;366;41101
268435749;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;13:34:57;0;1105;41101
268435509;DUGUESCE;41218;DU GUESCLIN;1;MOSSON;1;13:46:57;0;1825;41101
268435681;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;13:19:11;0;159;41101
268435473;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;13:33:08;0;996;41101
268435721;EUROMRTW;41247;EUROMEDECINE;1;MOSSON;1;13:49:42;0;1990;41101
268435721;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;13:24:41;0;489;41101
268435749;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;13:37:00;0;1228;41101
268435509;GARERTW;41221;GARE ST-ROCH T1;1;MOSSON;1;13:49:00;0;1948;41101
268435681;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;13:23:45;0;433;41101
268435473;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;13:37:16;0;1244;41101
268435721;HALLPRTW;41253;HALLES PAILLADE;1;MOSSON;1;13:53:53;0;2241;41101
268435681;HTMASRTW;41249;HAUTS DE MASSANE;1;MOSSON;1;13:20:11;0;219;41101
